nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 65,860,585 (44,075,017 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   1/100 | Batch 1/295 (  0.3%) | Running MAE: 101.08
  Epoch   1/100 | Batch 2/295 (  0.7%) | Running MAE: 70992.09
  Epoch   1/100 | Batch 3/295 (  1.0%) | Running MAE: 47359.91
  Epoch   1/100 | Batch 4/295 (  1.4%) | Running MAE: 35542.57
  Epoch   1/100 | Batch 5/295 (  1.7%) | Running MAE: 28514.27
  Epoch   1/100 | Batch 6/295 (  2.0%) | Running MAE: 23776.19
  Epoch   1/100 | Batch 7/295 (  2.4%) | Running MAE: 20389.70
  Epoch   1/100 | Batch 8/295 (  2.7%) | Running MAE: 17846.58
  Epoch   1/100 | Batch 9/295 (  3.1%) | Running MAE: 15870.04
  Epoch   1/100 | Batch 10/295 (  3.4%) | Running MAE: 14300.67
  Epoch   1/100 | Batch 11/295 (  3.7%) | Running MAE: 13008.93
  Epoch   1/100 | Batch 12/295 (  4.1%) | Running MAE: 11929.89
  Epoch   1/100 | Batch 13/295 (  4.4%) | Running MAE: 11017.17
  Epoch   1/100 | Batch 14/295 (  4.7%) | Running MAE: 10236.28
  Epoch   1/100 | Batch 15/295 (  5.1%) | Running MAE: 9556.59
  Epoch   1/100 | Batch 16/295 (  5.4%) | Running MAE: 8963.10
  Epoch   1/100 | Batch 17/295 (  5.8%) | Running MAE: 8438.84
  Epoch   1/100 | Batch 18/295 (  6.1%) | Running MAE: 7973.43
  Epoch   1/100 | Batch 19/295 (  6.4%) | Running MAE: 7557.08
  Epoch   1/100 | Batch 20/295 (  6.8%) | Running MAE: 7182.29
  Epoch   1/100 | Batch 21/295 (  7.1%) | Running MAE: 6843.40
  Epoch   1/100 | Batch 22/295 (  7.5%) | Running MAE: 6534.91
  Epoch   1/100 | Batch 23/295 (  7.8%) | Running MAE: 6253.51
  Epoch   1/100 | Batch 24/295 (  8.1%) | Running MAE: 5995.23
  Epoch   1/100 | Batch 25/295 (  8.5%) | Running MAE: 5758.17
  Epoch   1/100 | Batch 26/295 (  8.8%) | Running MAE: 5539.08
  Epoch   1/100 | Batch 27/295 (  9.2%) | Running MAE: 5335.77
  Epoch   1/100 | Batch 28/295 (  9.5%) | Running MAE: 5147.76
  Epoch   1/100 | Batch 29/295 (  9.8%) | Running MAE: 4972.12
  Epoch   1/100 | Batch 30/295 ( 10.2%) | Running MAE: 4808.29
  Epoch   1/100 | Batch 31/295 ( 10.5%) | Running MAE: 4655.19
  Epoch   1/100 | Batch 32/295 ( 10.8%) | Running MAE: 4511.64
  Epoch   1/100 | Batch 33/295 ( 11.2%) | Running MAE: 4376.51
  Epoch   1/100 | Batch 34/295 ( 11.5%) | Running MAE: 4251.02
  Epoch   1/100 | Batch 35/295 ( 11.9%) | Running MAE: 4130.85
  Epoch   1/100 | Batch 36/295 ( 12.2%) | Running MAE: 4017.88
  Epoch   1/100 | Batch 37/295 ( 12.5%) | Running MAE: 3910.65
  Epoch   1/100 | Batch 38/295 ( 12.9%) | Running MAE: 3809.14
  Epoch   1/100 | Batch 39/295 ( 13.2%) | Running MAE: 3712.95
  Epoch   1/100 | Batch 40/295 ( 13.6%) | Running MAE: 3621.22
  Epoch   1/100 | Batch 41/295 ( 13.9%) | Running MAE: 3534.23
  Epoch   1/100 | Batch 42/295 ( 14.2%) | Running MAE: 3451.38
  Epoch   1/100 | Batch 43/295 ( 14.6%) | Running MAE: 3372.76
  Epoch   1/100 | Batch 44/295 ( 14.9%) | Running MAE: 3297.76
  Epoch   1/100 | Batch 45/295 ( 15.3%) | Running MAE: 3226.57
  Epoch   1/100 | Batch 46/295 ( 15.6%) | Running MAE: 3158.34
  Epoch   1/100 | Batch 47/295 ( 15.9%) | Running MAE: 3093.21
  Epoch   1/100 | Batch 48/295 ( 16.3%) | Running MAE: 3029.91
  Epoch   1/100 | Batch 49/295 ( 16.6%) | Running MAE: 2969.39
  Epoch   1/100 | Batch 50/295 ( 16.9%) | Running MAE: 2911.27
  Epoch   1/100 | Batch 51/295 ( 17.3%) | Running MAE: 2855.54
  Epoch   1/100 | Batch 52/295 ( 17.6%) | Running MAE: 2801.94
  Epoch   1/100 | Batch 53/295 ( 18.0%) | Running MAE: 2750.14
  Epoch   1/100 | Batch 54/295 ( 18.3%) | Running MAE: 2700.15
  Epoch   1/100 | Batch 55/295 ( 18.6%) | Running MAE: 2651.77
  Epoch   1/100 | Batch 56/295 ( 19.0%) | Running MAE: 2605.72
  Epoch   1/100 | Batch 57/295 ( 19.3%) | Running MAE: 2561.37
  Epoch   1/100 | Batch 58/295 ( 19.7%) | Running MAE: 2518.45
  Epoch   1/100 | Batch 59/295 ( 20.0%) | Running MAE: 2476.67
