nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 130,886,629 (109,101,061 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   1/100 | Batch 1/295 (  0.3%) | Running MAE: 79.03
  Epoch   1/100 | Batch 2/295 (  0.7%) | Running MAE: 412623.92
  Epoch   1/100 | Batch 3/295 (  1.0%) | Running MAE: 275132.90
  Epoch   1/100 | Batch 4/295 (  1.4%) | Running MAE: 206403.65
  Epoch   1/100 | Batch 5/295 (  1.7%) | Running MAE: 165151.02
  Epoch   1/100 | Batch 6/295 (  2.0%) | Running MAE: 137643.48
  Epoch   1/100 | Batch 7/295 (  2.4%) | Running MAE: 117991.94
  Epoch   1/100 | Batch 8/295 (  2.7%) | Running MAE: 103257.88
  Epoch   1/100 | Batch 9/295 (  3.1%) | Running MAE: 91793.68
  Epoch   1/100 | Batch 10/295 (  3.4%) | Running MAE: 82620.64
  Epoch   1/100 | Batch 11/295 (  3.7%) | Running MAE: 75114.78
  Epoch   1/100 | Batch 12/295 (  4.1%) | Running MAE: 68860.98
  Epoch   1/100 | Batch 13/295 (  4.4%) | Running MAE: 63570.38
  Epoch   1/100 | Batch 14/295 (  4.7%) | Running MAE: 59034.58
  Epoch   1/100 | Batch 15/295 (  5.1%) | Running MAE: 55104.45
  Epoch   1/100 | Batch 16/295 (  5.4%) | Running MAE: 51665.56
  Epoch   1/100 | Batch 17/295 (  5.8%) | Running MAE: 48635.84
  Epoch   1/100 | Batch 18/295 (  6.1%) | Running MAE: 45937.53
  Epoch   1/100 | Batch 19/295 (  6.4%) | Running MAE: 43523.74
  Epoch   1/100 | Batch 20/295 (  6.8%) | Running MAE: 41350.75
  Epoch   1/100 | Batch 21/295 (  7.1%) | Running MAE: 39384.41
  Epoch   1/100 | Batch 22/295 (  7.5%) | Running MAE: 37596.58
  Epoch   1/100 | Batch 23/295 (  7.8%) | Running MAE: 35964.68
  Epoch   1/100 | Batch 24/295 (  8.1%) | Running MAE: 34468.52
  Epoch   1/100 | Batch 25/295 (  8.5%) | Running MAE: 33092.02
  Epoch   1/100 | Batch 26/295 (  8.8%) | Running MAE: 31821.87
  Epoch   1/100 | Batch 27/295 (  9.2%) | Running MAE: 30646.00
  Epoch   1/100 | Batch 28/295 (  9.5%) | Running MAE: 29554.09
  Epoch   1/100 | Batch 29/295 (  9.8%) | Running MAE: 28537.11
  Epoch   1/100 | Batch 30/295 ( 10.2%) | Running MAE: 27588.00
  Epoch   1/100 | Batch 31/295 ( 10.5%) | Running MAE: 26699.80
  Epoch   1/100 | Batch 32/295 ( 10.8%) | Running MAE: 25867.96
  Epoch   1/100 | Batch 33/295 ( 11.2%) | Running MAE: 25086.41
  Epoch   1/100 | Batch 34/295 ( 11.5%) | Running MAE: 24350.47
  Epoch   1/100 | Batch 35/295 ( 11.9%) | Running MAE: 23656.80
  Epoch   1/100 | Batch 36/295 ( 12.2%) | Running MAE: 23001.28
  Epoch   1/100 | Batch 37/295 ( 12.5%) | Running MAE: 22381.27
  Epoch   1/100 | Batch 38/295 ( 12.9%) | Running MAE: 21794.16
  Epoch   1/100 | Batch 39/295 ( 13.2%) | Running MAE: 21236.90
  Epoch   1/100 | Batch 40/295 ( 13.6%) | Running MAE: 20707.48
  Epoch   1/100 | Batch 41/295 ( 13.9%) | Running MAE: 20203.59
  Epoch   1/100 | Batch 42/295 ( 14.2%) | Running MAE: 19723.99
  Epoch   1/100 | Batch 43/295 ( 14.6%) | Running MAE: 19266.83
  Epoch   1/100 | Batch 44/295 ( 14.9%) | Running MAE: 18830.64
  Epoch   1/100 | Batch 45/295 ( 15.3%) | Running MAE: 18413.58
  Epoch   1/100 | Batch 46/295 ( 15.6%) | Running MAE: 18014.88
  Epoch   1/100 | Batch 47/295 ( 15.9%) | Running MAE: 17632.84
  Epoch   1/100 | Batch 48/295 ( 16.3%) | Running MAE: 17267.11
  Epoch   1/100 | Batch 49/295 ( 16.6%) | Running MAE: 16916.04
  Epoch   1/100 | Batch 50/295 ( 16.9%) | Running MAE: 16578.94
  Epoch   1/100 | Batch 51/295 ( 17.3%) | Running MAE: 16255.32
  Epoch   1/100 | Batch 52/295 ( 17.6%) | Running MAE: 15944.21
  Epoch   1/100 | Batch 53/295 ( 18.0%) | Running MAE: 15644.39
  Epoch   1/100 | Batch 54/295 ( 18.3%) | Running MAE: 15355.81
  Epoch   1/100 | Batch 55/295 ( 18.6%) | Running MAE: 15077.72
  Epoch   1/100 | Batch 56/295 ( 19.0%) | Running MAE: 14809.64
  Epoch   1/100 | Batch 57/295 ( 19.3%) | Running MAE: 14551.19
  Epoch   1/100 | Batch 58/295 ( 19.7%) | Running MAE: 14301.54
  Epoch   1/100 | Batch 59/295 ( 20.0%) | Running MAE: 14060.25
  Epoch   1/100 | Batch 60/295 ( 20.3%) | Running MAE: 13826.83
  Epoch   1/100 | Batch 61/295 ( 20.7%) | Running MAE: 13601.14
  Epoch   1/100 | Batch 62/295 ( 21.0%) | Running MAE: 13383.15
  Epoch   1/100 | Batch 63/295 ( 21.4%) | Running MAE: 13171.76
  Epoch   1/100 | Batch 64/295 ( 21.7%) | Running MAE: 12966.77
  Epoch   1/100 | Batch 65/295 ( 22.0%) | Running MAE: 12768.24
  Epoch   1/100 | Batch 66/295 ( 22.4%) | Running MAE: 12575.87
  Epoch   1/100 | Batch 67/295 ( 22.7%) | Running MAE: 12389.00
  Epoch   1/100 | Batch 68/295 ( 23.1%) | Running MAE: 12207.87
  Epoch   1/100 | Batch 69/295 ( 23.4%) | Running MAE: 12031.67
